aX,aY,aZ,gX,gY,gZ
-0.692,-1.318,3.006,5.066,-89.478,-43.579
-0.759,-1.387,3.315,-5.371,-88.989,-27.039
-0.736,-1.196,3.461,-17.273,-72.144,3.540
-0.753,-1.056,3.481,-22.705,-43.762,23.376
-0.789,-1.072,3.500,-24.597,-15.869,28.137
-0.820,-1.057,3.396,-18.921,12.939,33.447
-0.823,-0.902,3.232,-17.395,44.006,47.668
-0.806,-0.686,3.038,-14.343,73.975,60.181
-0.791,-0.539,2.774,-2.441,102.173,62.012
-0.788,-0.469,2.455,5.737,128.418,58.594
-0.756,-0.373,2.167,10.315,147.583,59.326
-0.733,-0.252,1.960,21.423,156.128,62.988
-0.720,-0.151,1.775,32.715,161.194,64.331
-0.694,-0.080,1.560,31.067,169.495,63.843
-0.644,-0.009,1.317,25.757,178.162,62.744
-0.607,0.037,1.106,30.762,181.213,60.608
-0.563,0.000,0.943,39.734,179.321,54.504
-0.529,-0.082,0.745,50.964,178.284,48.401
-0.485,-0.126,0.523,59.692,177.856,49.438
-0.423,-0.075,0.357,70.007,170.593,56.458
-0.363,0.047,0.266,76.294,158.508,62.317
-0.322,0.112,0.207,76.904,147.888,59.326
-0.275,0.145,0.154,80.750,139.587,54.260
-0.241,0.247,0.131,79.834,132.568,54.688
-0.210,0.357,0.113,74.097,126.343,53.284
-0.191,0.353,0.064,58.350,123.352,41.931
-0.160,0.284,-0.069,39.429,123.962,28.442
-0.137,0.224,-0.313,23.376,125.610,23.437
-0.108,0.179,-0.555,1.770,122.253,24.902
-0.064,0.208,-0.712,-4.944,107.117,28.320
0.009,0.269,-0.715,-3.113,81.543,29.236
0.038,0.316,-0.617,7.874,54.993,21.484
0.055,0.363,-0.556,23.560,39.063,10.254
0.071,0.403,-0.562,26.733,32.288,0.183
0.079,0.347,-0.608,29.114,26.428,-14.160
0.058,0.229,-0.635,31.555,17.334,-28.687
0.041,0.179,-0.681,25.940,7.568,-33.386
0.037,0.180,-0.728,15.808,-1.953,-32.288
0.029,0.124,-0.696,7.690,-16.357,-35.461
0.012,0.051,-0.596,4.822,-34.546,-39.490
0.029,0.075,-0.507,-1.221,-47.791,-35.583
0.047,0.120,-0.503,-3.845,-55.481,-32.349
0.024,0.092,-0.547,7.935,-64.819,-39.124
-0.002,0.055,-0.517,7.874,-79.712,-45.715
-0.020,0.057,-0.378,3.418,-98.206,-46.692
-0.052,0.082,-0.143,-3.113,-117.371,-47.363
-0.077,0.055,0.143,-4.333,-131.653,-52.551
-0.113,-0.073,0.411,-14.648,-138.489,-61.768
-0.151,-0.245,0.564,-31.677,-134.705,-71.838
-0.215,-0.385,0.571,-42.175,-125.610,-75.012

-0.325,-0.486,2.081,-58.411,-151.367,-59.143
-0.324,-0.599,1.915,-56.763,-117.676,-61.584
-0.374,-0.710,1.773,-45.166,-101.990,-61.890
-0.401,-0.814,1.760,-36.743,-103.394,-60.608
-0.406,-0.845,1.961,-27.039,-114.441,-52.673
-0.428,-0.779,2.358,-13.062,-129.333,-39.490
-0.372,-0.825,2.914,4.272,-137.512,-33.203
-0.429,-0.835,3.226,21.912,-119.751,-31.677
-0.524,-1.028,3.154,21.301,-76.843,-39.063
-0.586,-1.228,3.124,7.874,-46.326,-39.246
-0.594,-1.313,3.174,-14.832,-30.457,-25.330
-0.625,-1.378,3.165,-30.579,-12.634,-10.254
-0.618,-1.449,3.077,-40.771,9.521,0.854
-0.647,-1.500,2.899,-32.349,33.386,12.329
-0.657,-1.452,2.692,-9.338,54.321,28.625
-0.632,-1.230,2.516,14.954,69.641,51.453
-0.581,-0.944,2.379,32.471,82.336,69.885
-0.545,-0.719,2.184,40.710,97.900,76.965
-0.511,-0.585,1.896,36.194,117.432,77.026
-0.464,-0.453,1.570,25.635,134.033,77.942
-0.404,-0.316,1.318,18.799,140.076,78.613
-0.336,-0.208,1.134,21.118,138.550,75.073
-0.299,-0.160,0.982,32.410,134.888,67.566
-0.263,-0.122,0.800,34.058,133.118,62.500
-0.244,-0.074,0.583,37.659,132.629,60.181
-0.252,-0.066,0.422,48.767,125.732,56.091
-0.275,-0.089,0.375,56.274,113.342,53.406
-0.259,-0.046,0.485,60.669,96.619,56.885
-0.256,0.087,0.661,60.913,83.252,63.416
-0.238,0.216,0.686,60.669,86.121,62.439
-0.264,0.234,0.508,59.509,99.243,52.979
-0.268,0.211,0.310,51.636,106.689,44.006
-0.243,0.210,0.194,41.626,103.027,41.016
-0.226,0.216,0.155,33.752,93.872,38.513
-0.204,0.224,0.113,25.818,86.121,33.997
-0.182,0.229,0.016,16.846,82.275,29.114
-0.173,0.221,-0.090,14.587,76.782,24.658
-0.136,0.208,-0.183,7.629,68.115,21.301
-0.111,0.179,-0.228,0.854,57.373,16.479
-0.086,0.154,-0.230,1.282,45.471,10.681
-0.068,0.158,-0.265,8.240,36.377,5.371
-0.038,0.175,-0.322,7.935,29.419,1.526
-0.009,0.204,-0.369,1.404,21.729,-1.404
0.008,0.218,-0.433,-6.714,13.489,-4.272
0.014,0.193,-0.520,-22.217,6.042,-8.423
0.024,0.161,-0.631,-35.156,-2.625,-13.184
0.012,0.158,-0.706,-37.231,-16.663,-15.991
0.004,0.206,-0.662,-38.452,-36.987,-17.944
-0.000,0.258,-0.465,-30.701,-61.218,-22.583
-0.007,0.286,-0.225,-25.757,-80.811,-30.640
-0.025,0.293,-0.108,-29.297,-86.243,-39.795
-0.053,0.232,-0.137,-36.133,-83.069,-51.270
-0.088,0.100,-0.198,-51.147,-83.252,-61.768
-0.121,-0.029,-0.197,-64.026,-91.919,-67.688
-0.169,-0.074,-0.123,-64.575,-106.323,-66.589
-0.197,-0.090,0.061,-52.307,-123.962,-65.002
-0.247,-0.185,0.308,-38.879,-141.052,-68.542
-0.304,-0.321,0.543,-30.151,-152.161,-73.059
-0.322,-0.387,0.746,-33.997,-156.799,-69.824
-0.325,-0.330,0.915,-40.466,-157.959,-60.730
-0.352,-0.236,1.053,-49.866,-157.227,-54.199
-0.393,-0.217,1.226,-57.007,-156.677,-54.688
-0.420,-0.251,1.546,-60.791,-161.011,-56.641
-0.456,-0.332,1.943,-58.533,-163.513,-60.913
-0.537,-0.484,2.152,-40.527,-151.245,-70.313
-0.576,-0.673,2.198,-23.926,-129.456,-76.111
-0.611,-0.792,2.201,-15.137,-113.953,-72.815
-0.503,-0.827,2.349,-2.258,-108.704,-57.800
-0.554,-0.658,2.442,13.611,-100.952,-39.124
-0.540,-0.737,2.553,10.803,-89.600,-40.771
-0.550,-0.908,2.718,15.503,-84.473,-45.959
-0.545,-0.999,2.900,5.798,-74.585,-40.161
-0.518,-1.029,2.920,-22.156,-50.720,-27.222
-0.523,-1.119,2.797,-34.241,-21.729,-19.836
-0.561,-1.284,2.622,-26.123,-1.282,-17.761
-0.588,-1.403,2.562,-17.334,8.118,-8.850
-0.581,-1.355,2.682,-15.503,10.376,10.254
-0.567,-1.187,2.778,-8.850,19.226,30.212
-0.564,-1.037,2.705,6.104,41.748,40.833
-0.571,-0.962,2.481,18.616,69.824,43.640
-0.567,-0.897,2.171,27.771,94.849,47.363
-0.549,-0.768,1.871,34.607,110.718,56.152
-0.505,-0.593,1.648,38.208,116.150,66.406
-0.447,-0.450,1.515,35.706,116.638,70.496
-0.409,-0.390,1.417,27.161,116.943,68.298
-0.364,-0.352,1.307,21.667,118.652,66.223
-0.351,-0.309,1.209,37.109,117.798,64.575
-0.344,-0.243,1.194,47.791,113.464,64.026
-0.375,-0.230,1.183,50.659,112.122,61.951
-0.404,-0.276,1.123,47.302,116.211,58.167
-0.415,-0.237,1.034,42.297,121.033,60.974
-0.411,-0.119,0.990,42.297,122.559,67.505
-0.406,-0.027,0.989,47.363,121.887,67.627
-0.403,-0.016,0.925,59.753,125.977,60.181
-0.406,0.013,0.795,78.369,132.202,54.504
-0.411,0.071,0.622,91.187,136.169,53.101
-0.383,0.131,0.448,82.642,138.184,53.101
-0.345,0.185,0.290,63.721,136.108,54.993
-0.309,0.218,0.191,42.175,130.310,56.213
-0.267,0.229,0.135,20.264,124.268,53.406
-0.245,0.215,0.052,3.784,117.981,47.729
-0.164,0.202,-0.004,-5.737,110.535,43.396
-0.136,0.229,-0.081,-1.770,102.295,38.818
-0.125,0.266,-0.179,-0.244,96.741,31.860
-0.090,0.278,-0.303,-4.456,90.942,24.841
-0.057,0.235,-0.441,-5.554,82.703,15.259
-0.040,0.218,-0.580,-0.610,71.960,7.263
-0.017,0.247,-0.658,-2.869,56.274,5.188
0.002,0.266,-0.682,-6.348,37.720,2.625
0.024,0.280,-0.669,-9.460,19.775,-1.099
0.033,0.275,-0.645,-16.357,4.456,-5.188
0.026,0.232,-0.626,-25.574,-7.935,-11.597
0.005,0.187,-0.624,-29.419,-19.958,-17.334
0.000,0.172,-0.590,-35.767,-33.813,-20.142
