aX,aY,aZ,gX,gY,gZ
-0.491,-0.234,0.874,-9.216,-64.819,-232.788
-0.507,-0.392,1.008,-14.832,-79.590,-232.849
-0.516,-0.528,1.159,-17.090,-89.844,-227.966
-0.528,-0.647,1.294,-11.963,-91.553,-217.529
-0.542,-0.755,1.395,-6.165,-83.984,-204.163
-0.552,-0.863,1.446,-2.563,-70.618,-190.857
-0.554,-0.963,1.462,-2.075,-54.382,-177.124
-0.540,-1.044,1.456,-3.784,-39.246,-161.743
-0.521,-1.102,1.439,-3.418,-28.748,-145.020
-0.512,-1.141,1.428,-1.709,-23.376,-126.770
-0.488,-1.170,1.441,-5.676,-20.935,-110.229
-0.460,-1.197,1.464,-14.771,-18.433,-97.656
-0.440,-1.230,1.479,-20.813,-13.489,-87.585
-0.416,-1.276,1.486,-27.893,-5.737,-78.308
-0.408,-1.336,1.483,-32.349,3.357,-70.007
-0.385,-1.389,1.467,-31.860,14.404,-59.387
-0.385,-1.420,1.425,-23.499,26.855,-42.908
-0.384,-1.410,1.352,-12.024,39.429,-20.813
-0.374,-1.349,1.248,-3.113,52.490,4.211
-0.354,-1.251,1.117,5.249,64.148,28.687
-0.340,-1.143,0.978,11.719,71.899,49.316
-0.326,-1.054,0.852,13.367,73.059,64.209
-0.309,-1.000,0.759,8.484,67.993,73.547
-0.283,-0.968,0.701,2.258,57.678,80.688
-0.273,-0.942,0.684,-1.953,43.640,88.867
-0.257,-0.919,0.708,-2.625,27.954,97.229
-0.266,-0.888,0.772,1.648,13.000,106.323
-0.285,-0.856,0.859,7.507,1.099,115.723
-0.310,-0.815,0.949,9.949,-4.578,125.549
-0.325,-0.742,1.007,13.855,-4.456,138.733
-0.340,-0.638,1.041,17.578,-2.136,155.151
-0.344,-0.510,1.062,15.808,0.732,170.715
-0.344,-0.382,1.065,10.742,5.615,181.335
-0.341,-0.280,1.039,3.723,13.489,184.387
-0.328,-0.217,0.970,-1.892,23.437,181.519
-0.314,-0.188,0.878,-5.676,31.616,177.246
-0.310,-0.164,0.800,-8.667,33.386,174.927
-0.318,-0.120,0.755,-7.263,27.954,177.979
-0.334,-0.047,0.750,-2.380,16.724,185.913
-0.335,0.067,0.807,3.418,1.892,197.754
-0.388,0.214,0.905,10.437,-12.817,210.388
-0.421,0.387,1.006,20.752,-24.353,223.450
-0.468,0.586,1.106,26.184,-29.602,236.511
-0.499,0.795,1.192,28.198,-28.687,246.216
-0.491,0.999,1.259,27.588,-23.499,248.596
-0.495,1.189,1.305,24.780,-15.625,243.958
-0.465,1.359,1.309,18.982,-3.601,230.591
-0.432,1.494,1.265,8.362,13.550,208.862
-0.393,1.574,1.169,-1.160,32.593,178.650
-0.369,1.593,1.036,-11.414,49.377,144.958
-0.348,1.572,0.899,-18.066,58.655,114.441
-0.310,1.554,0.806,-24.109,56.885,90.759
-0.270,1.553,0.772,-26.489,45.593,73.303
-0.227,1.579,0.797,-22.217,30.762,59.204

-0.207,1.596,0.903,-10.742,13.184,26.978
-0.208,1.583,0.927,-9.338,16.052,10.071
